menu_group,category,subcategory,suggested_url,page_type,query_count,total_volume,query_1,volume_1,query_2,volume_2,query_3,volume_3,query_4,volume_4,query_5,volume_5
6. События,Новый год,Общие,/promt-foto-novogodnyaya/,leaf_split,5,227,промт фото новогодняя,141,промт фото новый год,55,создать новогоднее фото промт,12,промт на фото в новогоднем стиле,11,промт на фото китайский новый год,8
6. События,Новый год,Общие,/novogodnie-foto-ii-promty/,leaf_split,1,6,новогодние фото ии промты,6,,,,,,,,
6. События,Свадьба,Общие,/promt-svadebnogo-foto/,leaf_split,5,684,промт для свадебного фото,412,промт для фото свадьбы,129,промт для свадебного фото ии,75,промт для фото в свадебном платье,40,промт для фото на годовщину свадьбы,28
6. События,Свадьба,Общие,/promt-neyroseti-svadebnoe-foto/,leaf_split,5,61,промт для нейросети свадебное фото,24,промт для фото нейросети свадьба,15,промт для ии для фото свадьбы,8,промт для свадебного фото старого,7,промты для свадебных зимних фото,7
7. Сцены и объекты,В горах,Общие,/promt-foto-gorah/,leaf,5,191,промт для фото в горах,133,промт для фото горнолыжный,36,промт для фото на горнолыжном курорте,8,промт для фото с макгрегором,8,промт для фото с демогоргон,6
7. Сцены и объекты,В зеркале,Общие,/promt-foto-zerkale/,leaf,2,513,промт для фото в зеркале,433,промт для ии фото в зеркале,80,,,,,,
7. Сцены и объекты,В костюме,Общие,/promt-foto-kostyume/,leaf,3,646,промт для фото в костюме,623,промт для фото в хиджабе,14,промт для фото в горнолыжном костюме,9,,,,
7. Сцены и объекты,В лесу,Общие,/promt-foto-lesu/,leaf,3,393,промт для фото в лесу,257,промт для фото в зимнем лесу,98,промт для фото в заснеженном лесу,38,,,,
7. Сцены и объекты,В профиль,Общие,/promt-foto-profil/,leaf,4,614,промт для фото в профиль,511,промт для ии фото в профиль,60,промт на фото семью боком,30,промт для фото в профиль 3 человек,13,,
7. Сцены и объекты,В форме,В стиле,/promt-foto-stile-svo/,leaf,1,17,промт фото в стиле сво,17,,,,,,,,
7. Сцены и объекты,В форме,Общие,/promt-foto-voennym/,leaf_split,5,2231,промт для фото с военным,665,промт для фото в форме,576,промт со своим фото,486,промт для фото в военной форме,271,промт для фото сво,233
7. Сцены и объекты,В форме,Общие,/promt-neyroseti-voennyy-foto/,leaf_split,5,316,промт для нейросети военный для фото,126,промты для ии фото с военным,89,промт для фото полицейского,44,промт фото в полицейской форме,40,промт для фото в форме полиции,17
7. Сцены и объекты,В форме,Общие,/promty-foto-uchastnikami-svo/,leaf_split,5,72,промты для фото с участниками сво,16,промты фото ии военная тематика,16,промт для фото в медицинской форме,14,промт фото хоккеиста,13,промты фото с погибшим на сво,13
7. Сцены и объекты,В форме,Общие,/promt-foto-voennogo-ego-zheny/,leaf_split,4,33,промт для фото военного и его жены,9,промт прикладываю свое фото и описание,9,промт фото с военным на небесах,9,промт на фото военного в день рождение,6,,
7. Сцены и объекты,На море,Общие,/promt-foto-more/,leaf,4,250,промт фото на море,176,промт фото на байкале,43,промт для фото на льду байкала,17,промт для фото на мальдивах,14,,
7. Сцены и объекты,На черном фоне,Общие,/promt-foto-chernom-fone/,leaf,1,413,промт для фото на черном фоне,413,,,,,,,,
7. Сцены и объекты,С котом,Общие,/promt-foto-kotom/,leaf,5,616,промт для фото с котом,316,промт для фото с кошкой,212,промт фото ии с котом,53,промт для ии фото с кошкой,20,промт для фото нейросети с котом,15
7. Сцены и объекты,С крыльями / ангел,В стиле,/promt-foto-stile-angela/,leaf,1,14,промт для фото в стиле ангела,14,,,,,,,,
7. Сцены и объекты,С крыльями / ангел,Общие,/promt-foto-angela/,leaf,5,376,промт для фото ангела,234,промт для фото ии ангел,46,промт на фото с крыльями,41,промт для фото с крыльями ангела,40,промт для фото с ангельскими крыльями,15
7. Сцены и объекты,С машиной,Общие,/promty-foto-mashinoy/,leaf_split,5,2034,промты для фото с машиной,921,промты для ии фото машины,396,промт для фото автомобиля,330,промт для фото авто,255,промт для фото нейросети для машины,132
